less,front-loaded,and,more,shapely,than,the,two-hour,version,released,here,in,1990,.,0,1,wrong,,,,,,,,,,,,,,,,
1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
that,the,real,antwone,fisher,was,able,to,overcome,his,personal,obstacles,and,become,a,good,man,is,a,wonderful,thing,;,that,he,has,been,able,to,share,his,1,1,correct
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,,,
a,fun,ride,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
those,prone,to,indignation,need,not,apply,;,those,susceptible,to,blue,hilarity,",",step,right,up,.,1,1,correct,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,
an,impossible,romance,",",but,we,root,for,the,patronized,iranian,lad,.,1,1,correct,,,,,,,,,,,,,,,,,
0,0,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
the,only,thing,i,laughed,at,were,the,people,who,paid,to,see,it,.,0,0,correct,,,,,,,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
a,deftly,entertaining,film,",",smartly,played,and,smartly,directed,.,1,1,correct,,,,,,,,,,,,,,,,,,,
1,1,1,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
a,sensitive,",",cultivated,treatment,of,greene,'s,work,as,well,as,a,remarkably,faithful,one,.,1,1,correct,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,
the,movie,'s,major,and,most,devastating,flaw,is,its,reliance,on,formula,",",though,",",and,it,'s,quite,enough,to,lessen,the,overall,impact,the,movie,could,have,1,0,wrong
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,
this,hastily,mounted,production,exists,only,to,capitalize,on,hopkins,',inclination,to,play,hannibal,lecter,again,",",even,though,harris,has,no,immediate,inclination,to,provide,a,fourth,book,0,0,correct
1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,
a,touching,",",small-scale,story,of,family,responsibility,and,care,in,the,community,.,1,1,correct,,,,,,,,,,,,,,,,
1,1,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
directors,harry,gantz,and,joe,gantz,have,chosen,a,fascinating,subject,matter,",",but,the,couples,exposing,themselves,are,n't,all,that,interesting,.,0,0,correct,,,,,,
0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,
a,real,clunker,.,a,well-made,",",thoughtful,",",well-acted,clunker,",",but,a,clunker,nonetheless,.,1,0,wrong,,,,,,,,,,,,,
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,
when,it,comes,to,the,battle,of,hollywood,vs,.,woo,",",it,looks,like,woo,'s,a,p,.,o,.,w,.,0,0,correct,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,,,,,,,,,
a,giddy,and,provocative,sexual,romp,that,has,something,to,say,.,1,1,correct,,,,,,,,,,,,,,,,,,
0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
sits,uneasily,as,a,horror,picture,.,.,.,but,finds,surprising,depth,in,its,look,at,the,binds,of,a,small,family,.,1,1,correct,,,,,,
1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,
it,plods,along,methodically,",",somehow,under,the,assumption,that,its,``,dead,wife,communicating,from,beyond,the,grave,``,framework,is,even,remotely,new,or,interesting,.,0,0,correct,,
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
in,its,treatment,of,the,dehumanizing,and,ego-destroying,process,of,unemployment,",",time,out,offers,an,exploration,that,is,more,accurate,than,anything,i,have,seen,in,an,american,film,1,1,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,
the,bottom,line,with,nemesis,is,the,same,as,it,has,been,with,all,the,films,in,the,series,:,fans,will,undoubtedly,enjoy,it,",",and,the,uncommitted,need,0,0,correct
1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,,,
predictably,soulless,techno-tripe,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
judith,and,zaza,'s,extended,bedroom,sequence,.,.,.,is,so,intimate,and,sensual,and,funny,and,psychologically,self-revealing,that,it,makes,most,of,what,passes,for,sex,in,1,1,correct
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
the,film,is,directed,by,wally,wolodarsky,from,a,script,by,joe,jarvis,and,greg,coolidge,.,these,are,names,to,remember,",",in,order,to,avoid,them,in,the,0,0,correct
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,,,
the,movie,bounces,all,over,the,map,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,
1,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,hard,to,say,who,might,enjoy,this,",",are,there,tolstoy,groupies,out,there,?,it,'s,dark,and,tragic,",",and,lets,the,business,of,the,greedy,0,0,correct
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,,,
a,mechanical,action-comedy,whose,seeming,purpose,is,to,market,the,charismatic,jackie,chan,to,even,younger,audiences,.,0,0,correct,,,,,,,,,,,,
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
it,'s,both,degrading,and,strangely,liberating,to,see,people,working,so,hard,at,leading,lives,of,sexy,intrigue,",",only,to,be,revealed,by,the,dispassionate,gantz,brothers,as,0,1,wrong
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,,
this,is,a,sincerely,crafted,picture,that,deserves,to,emerge,from,the,traffic,jam,of,holiday,movies,.,1,1,correct,,,,,,,,,,,,
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
canadian,filmmaker,gary,burns,',inventive,and,mordantly,humorous,take,on,the,soullessness,of,work,in,the,city,.,1,1,correct,,,,,,,,,,,
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
despite,auteuil,'s,performance,",",it,'s,a,rather,listless,amble,down,the,middle,of,the,road,",",where,the,thematic,ironies,are,too,obvious,and,the,sexual,politics,too,0,0,correct
0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
this,is,such,a,dazzlingly,self-assured,directorial,debut,that,it,'s,hard,to,know,what,to,praise,first,.,0,1,wrong,,,,,,,,,,,
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
.,.,.,quite,good,at,providing,some,good,old,fashioned,spooks,.,1,1,correct,,,,,,,,,,,,,,,,,
0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
.,.,.,a,poignant,and,powerful,narrative,that,reveals,that,reading,writing,and,arithmetic,are,not,the,only,subjects,to,learn,in,life,.,1,1,correct,,,,,
0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
it,'s,a,bit,disappointing,that,it,only,manages,to,be,decent,instead,of,dead,brilliant,.,0,1,wrong,,,,,,,,,,,,,
1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,
'would,n't,it,be,nice,if,all,guys,got,a,taste,of,what,it,'s,like,on,the,other,side,of,the,bra,?,',0,0,correct,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
novak,contemplates,a,heartland,so,overwhelmed,by,its,lack,of,purpose,that,it,seeks,excitement,in,manufactured,high,drama,.,0,0,correct,,,,,,,,,,
0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,
an,unorthodox,little,film,noir,organized,crime,story,that,includes,one,of,the,strangest,love,stories,you,will,ever,see,.,1,1,correct,,,,,,,,,
0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
``,my,god,",",i,'m,behaving,like,an,idiot,!,``,yes,",",you,are,",",ben,kingsley,.,0,0,correct,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
though,it,draws,several,decent,laughs,",",it,'s,low-cal,woody,at,best,.,0,0,correct,,,,,,,,,,,,,,,,
1,1,1,0,0,0,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,
a,taut,psychological,thriller,that,does,n't,waste,a,moment,of,its,two-hour,running,time,.,0,1,wrong,,,,,,,,,,,,,,
1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
this,is,one,of,the,year,'s,best,films,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,an,inviting,piece,of,film,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
no,",",it,'s,not,as,single-minded,as,john,carpenter,'s,original,",",but,it,'s,sure,a,lot,smarter,and,more,unnerving,than,the,sequels,.,1,1,correct,,,
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,,,,,,
[,janey,],forgets,about,her,other,obligations,",",leading,to,a,tragedy,which,is,somehow,guessable,from,the,first,few,minutes,",",maybe,because,it,echoes,the,by,now,0,0,correct
0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,
just,a,collection,of,this,and,that,--,whatever,fills,time,--,with,no,unified,whole,.,0,0,correct,,,,,,,,,,,,,
1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,
the,crime,matters,less,than,the,characters,",",although,the,filmmakers,supply,enough,complications,",",close,calls,and,double-crosses,to,satisfy,us,.,0,1,wrong,,,,,,,
0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,
chai,'s,structure,and,pacing,are,disconcertingly,slack,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
may,cause,you,to,bite,your,tongue,to,keep,from,laughing,at,the,ridiculous,dialog,or,the,oh-so,convenient,plot,twists,.,0,0,correct,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
upper,west,sidey,exercise,in,narcissism,and,self-congratulation,disguised,as,a,tribute,.,0,0,correct,,,,,,,,,,,,,,,,,
0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
[,t,],he,film,is,never,sure,to,make,a,clear,point,,even,if,it,seeks,to,rely,on,an,ambiguous,presentation,.,0,0,correct,,,,,
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,
bartleby,is,a,one-joke,movie,",",and,a,bad,joke,at,that,.,0,0,correct,,,,,,,,,,,,,,,,,
0,0,1,1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
there,are,simply,too,many,ideas,floating,around,--,part,farce,",",part,sliding,doors,",",part,pop,video,--,and,yet,failing,to,exploit,them,.,0,0,correct,,,
1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,,,,,,
the,film,'s,final,hour,",",where,nearly,all,the,previous,unseen,material,resides,",",is,unconvincing,soap,opera,that,tornatore,was,right,to,cut,.,0,0,correct,,,,
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,
it,'s,about,individual,moments,of,mood,",",and,an,aimlessness,that,'s,actually,sort,of,amazing,.,1,1,correct,,,,,,,,,,,,
1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,
[,swimfan,],falls,victim,to,sloppy,plotting,",",an,insultingly,unbelievable,final,act,and,a,villainess,who,is,too,crazy,to,be,interesting,.,0,0,correct,,,,,
0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,
a,highly,watchable,",",giggly,little,story,with,a,sweet,edge,to,it,.,1,1,correct,,,,,,,,,,,,,,,,
0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
without,shakespeare,'s,eloquent,language,",",the,update,is,dreary,and,sluggish,.,0,0,correct,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
the,complex,",",politically,charged,tapestry,of,contemporary,chinese,life,this,exciting,new,filmmaker,has,brought,to,the,screen,is,like,nothing,we,westerners,have,seen,before,.,1,1,correct,,
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,,,,
green,might,want,to,hang,onto,that,ski,mask,",",as,robbery,may,be,the,only,way,to,pay,for,his,next,project,.,0,0,correct,,,,,,
1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
though,overall,an,overwhelmingly,positive,portrayal,",",the,film,does,n't,ignore,the,more,problematic,aspects,of,brown,'s,life,.,0,1,wrong,,,,,,,,,
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
writer/director,john,mckay,ignites,some,charming,chemistry,between,kate,and,jed,but,",",when,he,veers,into,sodden,melodrama,",",punctuated,by,violins,",",it,'s,disastrous,and,kate,'s,0,0,correct
0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,,,
whether,jason,x,is,this,bad,on,purpose,is,never,clear,.,but,one,thing,'s,for,sure,:,it,never,comes,close,to,being,either,funny,or,scary,.,0,0,correct
1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
this,time,",",the,hype,is,quieter,",",and,while,the,movie,is,slightly,less,successful,than,the,first,",",it,'s,still,a,rollicking,good,time,for,the,most,1,1,correct
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,,,
béart,and,berling,are,both,superb,",",while,huppert,.,.,.,is,magnificent,.,1,1,correct,,,,,,,,,,,,,,,
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,
love,may,have,been,in,the,air,onscreen,",",but,i,certainly,was,n't,feeling,any,of,it,.,0,0,correct,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,
any,movie,this,boring,should,be,required,to,have,ushers,in,the,theater,that,hand,you,a,cup,of,coffee,every,few,minutes,.,like,a,marathon,runner,trying,to,0,0,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,
it,must,be,the,end,of,the,world,:,the,best,film,so,far,this,year,is,a,franchise,sequel,starring,wesley,snipes,.,0,1,wrong,,,,,,
1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,,,,,,,,,
though,mama,takes,a,bit,too,long,to,find,its,rhythm,and,a,third-act,plot,development,is,somewhat,melodramatic,",",its,ribald,humor,and,touching,nostalgia,are,sure,to,please,1,1,correct
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,,,
an,appalling,'ace,ventura,',rip-off,that,somehow,manages,to,bring,together,kevin,pollak,",",former,wrestler,chyna,and,dolly,parton,.,if,any,of,them,list,this,'credit,',0,0,correct
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,
reinforces,the,talents,of,screenwriter,charlie,kaufman,",",creator,of,adaptation,and,being,john,malkovich,.,1,1,correct,,,,,,,,,,,,,,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
half,submarine,flick,",",half,ghost,story,",",all,in,one,criminally,neglected,film,0,1,wrong,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,
it,'s,not,life-affirming,,its,vulgar,and,mean,",",but,i,liked,it,.,1,1,correct,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,
full,of,profound,",",real-life,moments,that,anyone,can,relate,to,",",it,deserves,a,wide,audience,.,1,1,correct,,,,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,
it,'s,been,13,months,and,295,preview,screenings,since,i,last,walked,out,on,a,movie,",",but,resident,evil,really,earned,my,indignant,",",preemptive,departure,.,0,0,correct,
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,,,,
the,first,question,to,ask,about,bad,company,is,why,anthony,hopkins,is,in,it,.,we,assume,he,had,a,bad,run,in,the,market,or,a,costly,divorce,0,0,correct
1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
its,gentle,",",touching,story,creeps,into,your,heart,.,1,1,correct,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
can,i,admit,xxx,is,as,deep,as,a,petri,dish,and,as,well-characterized,as,a,telephone,book,but,still,say,it,was,a,guilty,pleasure,?,0,1,wrong,,,
0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,
``,feardotcom,``,has,the,makings,of,an,interesting,meditation,on,the,ethereal,nature,of,the,internet,and,the,otherworldly,energies,it,could,channel,",",but,it,simply,becomes,a,1,0,wrong
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,
well-meaning,to,a,fault,",",antwone,fisher,manages,the,dubious,feat,of,turning,one,man,'s,triumph,of,will,into,everyman,'s,romance,comedy,.,0,0,correct,,,,,
1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
ryan,gosling,is,",",in,a,word,",",brilliant,as,the,conflicted,daniel,.,1,1,correct,,,,,,,,,,,,,,,,
0,0,1,1,1,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
divine,secrets,of,the,ya-ya,sisterhood,may,not,be,exactly,divine,",",but,it,'s,definitely,--,defiantly,--,ya,ya,",",what,with,all,of,those,terrific,songs,and,1,1,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,,,
.,.,.,a,weak,",",manipulative,",",pencil-thin,story,that,is,miraculously,able,to,entertain,anyway,.,0,1,wrong,,,,,,,,,,,,
0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
even,if,you,'re,an,elvis,person,",",you,wo,n't,find,anything,to,get,excited,about,on,this,dvd,.,1,0,wrong,,,,,,,,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
standing,by,yourself,is,haunting,.,.,.,[,it,'s,],what,punk,rock,music,used,to,be,",",and,what,the,video,medium,could,use,more,of,:,0,1,wrong
0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,,,
what,should,have,been,a,cutting,hollywood,satire,is,instead,about,as,fresh,as,last,week,'s,issue,of,variety,.,0,0,correct,,,,,,,,,
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
the,film,makes,strong,arguments,regarding,the,social,status,of,america,'s,indigenous,people,",",but,really,only,exists,to,try,to,eke,out,an,emotional,tug,of,the,heart,1,0,wrong
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
a,deep,and,meaningful,film,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,hard,to,imagine,alan,arkin,being,better,than,he,is,in,this,performance,.,0,1,wrong,,,,,,,,,,,,,,
1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,
genuinely,unnerving,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forget,the,misleading,title,",",what,'s,with,the,unexplained,baboon,cameo,?,0,0,correct,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
without,september,11,",",collateral,damage,would,have,been,just,another,bad,movie,.,now,it,'s,a,bad,",",embarrassing,movie,.,0,0,correct,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,,,,,,,,,
for,all,the,time,we,spend,with,these,people,",",we,never,really,get,inside,of,them,.,0,0,correct,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
starts,as,an,intense,political,and,psychological,thriller,but,is,sabotaged,by,ticking,time,bombs,and,other,hollywood-action,cliches,.,0,0,correct,,,,,,,,,,
1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
it,is,bad,",",but,certainly,not,without,merit,as,entertainment,.,0,0,correct,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
simplistic,",",silly,and,tedious,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
an,exceptionally,acted,",",quietly,affecting,cop,drama,.,1,1,correct,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,unnerving,to,see,recoing,'s,bizzarre,reaction,to,his,unemployment,.,good,film,",",but,very,glum,.,0,1,wrong,,,,,,,,,,
1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,
an,action/thriller,of,the,finest,kind,",",evoking,memories,of,day,of,the,jackal,",",the,french,connection,",",and,heat,.,1,1,correct,,,,,,,,
1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
the,central,story,lacks,punch,.,0,0,correct,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
it,'s,better,than,the,phantom,menace,.,but,unless,you,'re,an,absolute,raving,star,wars,junkie,",",it,is,n't,much,fun,.,1,0,wrong,,,,,
1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,,,,,,,,
it,does,n't,matter,that,the,film,is,less,than,90,minutes,.,it,still,feels,like,a,prison,stretch,.,0,0,correct,,,,,,,,,
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,,,,,,,,,,,
